"","name","slug","value","ranking","region"
"59","Cuba","cuba",79.64,59,"Central America and the Caribbean"
"60","United Arab Emirates","united-arab-emirates",79.56,60,"Middle East"
"61","Albania","albania",79.47,61,"Europe"
"62","Curacao","curacao",79.42,62,"Central America and the Caribbean"
"63","Sint Maarten","sint-maarten",79.26,63,"Central America and the Caribbean"
"64","Kuwait","kuwait",79.13,64,"Middle East"
"65","Saint Lucia","saint-lucia",78.95,65,"Central America and the Caribbean"
"66","New Caledonia","new-caledonia",78.83,66,"Australia and Oceania"
"67","Lebanon","lebanon",78.76,67,"Middle East"
"68","Poland","poland",78.76,68,"Europe"
"69","Barbados","barbados",78.55,69,"Central America and the Caribbean"
"70","French Polynesia","french-polynesia",78.43,70,"Australia and Oceania"
"71","Uruguay","uruguay",78.43,71,"South America"
"72","Brunei","brunei",78.38,72,"East and Southeast Asia"
"73","Paraguay","paraguay",78.37,73,"South America"
"74","Argentina","argentina",78.31,74,"South America"
"75","Slovakia","slovakia",78.31,75,"Europe"
"76","Dominica","dominica",78.21,76,"Central America and the Caribbean"
"77","Algeria","algeria",78.03,77,"Africa"
"78","Aruba","aruba",78.01,78,"Central America and the Caribbean"
"79","Ecuador","ecuador",78,79,"South America"
"80","Sri Lanka","sri-lanka",78,80,"South Asia"
"81","Bosnia and Herzegovina","bosnia-and-herzegovina",77.98,81,"Europe"
"82","Estonia","estonia",77.88,82,"Europe"
"83","Antigua and Barbuda","antigua-and-barbuda",77.8,83,"Central America and the Caribbean"
"84","Montenegro","montenegro",77.75,84,"Europe"
"85","China","china",77.72,85,"East and Southeast Asia"
"86","Thailand","thailand",77.66,86,"East and Southeast Asia"
"87","Panama","panama",77.62,87,"Central America and the Caribbean"
"88","Tonga","tonga",77.53,88,"Australia and Oceania"
"89","Georgia","georgia",77.5,89,"Middle East"
"90","Guam","guam",77.5,90,"Australia and Oceania"
"91","Croatia","croatia",77.22,91,"Europe"
"92","Hungary","hungary",77.2,92,"Europe"
"93","Libya","libya",77.18,93,"Africa"
"94","Cook Islands","cook-islands",77.14,94,"Australia and Oceania"
"95","Saint Kitts and Nevis","saint-kitts-and-nevis",77.08,95,"Central America and the Caribbean"
"96","Maldives","maldives",76.94,96,"South Asia"
"97","Oman","oman",76.9,97,"Middle East"
"98","North Macedonia","north-macedonia",76.84,98,"Europe"
"99","Tunisia","tunisia",76.82,99,"Africa"
"100","Solomon Islands","solomon-islands",76.7,100,"Australia and Oceania"
"101","Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines",76.68,101,"Central America and the Caribbean"
"102","Saudi Arabia","saudi-arabia",76.65,102,"Middle East"
"103","Northern Mariana Islands","northern-mariana-islands",76.58,103,"Australia and Oceania"
"104","West Bank","west-bank",76.38,104,"Middle East"
"105","Turkey (Turkiye)","turkey-turkiye",76.21,105,"Middle East"
"106","Armenia","armenia",76.13,106,"Middle East"
"107","Bahamas, The","bahamas-the",76.13,107,"Central America and the Caribbean"
"108","Malaysia","malaysia",76.13,108,"East and Southeast Asia"
"109","Seychelles","seychelles",76.1,109,"Africa"
"110","Jordan","jordan",76.01,110,"Middle East"
"111","Trinidad and Tobago","trinidad-and-tobago",75.94,111,"Central America and the Caribbean"
"112","Brazil","brazil",75.92,112,"South America"
"113","Latvia","latvia",75.91,113,"Europe"
"114","Belize","belize",75.82,114,"Central America and the Caribbean"
"115","Lithuania","lithuania",75.78,115,"Europe"
"116","Jamaica","jamaica",75.75,116,"Central America and the Caribbean"
"117","Romania","romania",75.75,117,"Europe"
"118","Grenada","grenada",75.74,118,"Central America and the Caribbean"
"119","Montserrat","montserrat",75.7,119,"Central America and the Caribbean"
"120","Bulgaria","bulgaria",75.57,120,"Europe"
"121","Vietnam","vietnam",75.52,121,"East and Southeast Asia"
"122","Gaza Strip","gaza-strip",75.4,122,"Middle East"
"123","El Salvador","el-salvador",75.37,123,"Central America and the Caribbean"
"124","American Samoa","american-samoa",75.32,124,"Australia and Oceania"
"125","Uzbekistan","uzbekistan",75.29,125,"Central Asia"
"126","Iran","iran",75.25,126,"Middle East"
"127","Samoa","samoa",75.19,127,"Australia and Oceania"
"128","Honduras","honduras",75.17,128,"Central America and the Caribbean"
"129","Vanuatu","vanuatu",75.14,129,"Australia and Oceania"
"130","Colombia","colombia",74.89,130,"South America"
"131","Mauritius","mauritius",74.86,131,"Africa"
"132","Nicaragua","nicaragua",74.78,132,"Central America and the Caribbean"
"133","Bangladesh","bangladesh",74.7,133,"South Asia"
"134","Marshall Islands","marshall-islands",74.65,134,"Australia and Oceania"
"135","Palau","palau",74.64,135,"Australia and Oceania"
"136","Egypt","egypt",74.45,136,"Africa"
"137","Micronesia, Federated States of","micronesia-federated-states-of",74.44,137,"Australia and Oceania"
"138","Belarus","belarus",74.28,138,"Europe"
"139","Syria","syria",74.28,139,"Middle East"
"140","Fiji","fiji",74.27,140,"Australia and Oceania"
"141","Serbia","serbia",74.17,141,"Europe"
"142","Azerbaijan","azerbaijan",74.15,142,"Middle East"
"143","Greenland","greenland",73.98,143,"North America"
"144","Cabo Verde","cabo-verde",73.75,144,"Africa"
"145","Morocco","morocco",73.68,145,"Africa"
"146","Ukraine","ukraine",73.45,146,"Europe"
"147","Venezuela","venezuela",73.29,147,"South America"
"148","Iraq","iraq",73.18,148,"Middle East"
"149","Indonesia","indonesia",73.08,149,"East and Southeast Asia"
"150","Guatemala","guatemala",72.91,150,"Central America and the Caribbean"
"151","Dominican Republic","dominican-republic",72.56,151,"Central America and the Caribbean"
"152","Kazakhstan","kazakhstan",72.53,152,"Central Asia"
"153","Bolivia","bolivia",72.5,153,"South America"
"154","Malawi","malawi",72.44,154,"Africa"
"155","Moldova","moldova",72.44,155,"Europe"
"156","Russia","russia",72.44,156,"Central Asia"
"157","Suriname","suriname",72.42,157,"South America"
"158","Nepal","nepal",72.4,158,"South Asia"
"159","Kyrgyzstan","kyrgyzstan",72.35,159,"Central Asia"
"160","Mexico","mexico",72.32,160,"North America"
"161","Bhutan","bhutan",72.31,161,"South Asia"
"162","Guyana","guyana",71.87,162,"South America"
"163","Turkmenistan","turkmenistan",71.83,163,"Central Asia"
"164","Korea, North","korea-north",71.77,164,"East and Southeast Asia"
"165","Mongolia","mongolia",71.37,165,"East and Southeast Asia"
"166","Togo","togo",71.36,166,"Africa"
"167","Kosovo","kosovo",71.12,167,"Europe"
"168","Cambodia","cambodia",70.65,168,"East and Southeast Asia"
"169","Tanzania","tanzania",70.19,169,"Africa"
"170","Philippines","philippines",70.14,170,"East and Southeast Asia"
"171","Senegal","senegal",69.96,171,"Africa"
"172","Burma","burma",69.92,172,"East and Southeast Asia"
"173","Timor-Leste","timor-leste",69.92,173,"East and Southeast Asia"
"174","Gabon","gabon",69.7,174,"Africa"
"175","Kenya","kenya",69.69,175,"Africa"
"176","Pakistan","pakistan",69.67,176,"South Asia"
"177","Papua New Guinea","papua-new-guinea",69.43,177,"East and Southeast Asia"
"178","Ghana","ghana",69.37,178,"Africa"
"179","Tajikistan","tajikistan",69.36,179,"Central Asia"
"180","Uganda","uganda",68.96,180,"Africa"
"181","Peru","peru",68.94,181,"South America"
"182","Tuvalu","tuvalu",68.38,182,"Australia and Oceania"
"183","Ethiopia","ethiopia",68.25,183,"Africa"
"184","Madagascar","madagascar",68.17,184,"Africa"
"185","Laos","laos",68.15,185,"East and Southeast Asia"
"186","Nauru","nauru",67.93,186,"Australia and Oceania"
"187","Kiribati","kiribati",67.9,187,"Australia and Oceania"
"188","Gambia, The","gambia-the",67.6,188,"Africa"
"189","Yemen","yemen",67.51,189,"Middle East"
"190","Burundi","burundi",67.42,190,"Africa"
"191","India","india",67.22,191,"South Asia"
"192","Comoros","comoros",67.2,192,"Africa"
"193","Sudan","sudan",67.12,193,"Africa"
"194","Sao Tome and Principe","sao-tome-and-principe",67.06,194,"Africa"
"195","Eritrea","eritrea",66.85,195,"Africa"
"196","Namibia","namibia",66.47,196,"Africa"
"197","Zambia","zambia",66.26,197,"Africa"
"198","Haiti","haiti",65.95,198,"Central America and the Caribbean"
"199","Rwanda","rwanda",65.85,199,"Africa"
"200","Botswana","botswana",65.64,200,"Africa"
"201","Liberia","liberia",65.45,201,"Africa"
"202","South Africa","south-africa",65.32,202,"Africa"
"203","Djibouti","djibouti",65.3,203,"Africa"
"204","Mauritania","mauritania",65.22,204,"Africa"
"205","Guinea","guinea",63.9,205,"Africa"
"206","Equatorial Guinea","equatorial-guinea",63.7,206,"Africa"
"207","Guinea-Bissau","guinea-bissau",63.68,207,"Africa"
"208","Burkina Faso","burkina-faso",63.44,208,"Africa"
"209","Zimbabwe","zimbabwe",63.32,209,"Africa"
"210","Cameroon","cameroon",63.27,210,"Africa"
"211","Mali","mali",62.41,211,"Africa"
"212","Cote d'Ivoire","cote-divoire",62.26,212,"Africa"
"213","Benin","benin",62.21,213,"Africa"
"214","Angola","angola",62.11,214,"Africa"
"215","Congo, Republic of the","congo-republic-of-the",62.1,215,"Africa"
"216","Congo, Democratic Republic of the","congo-democratic-republic-of-the",61.83,216,"Africa"
"217","Nigeria","nigeria",61.33,217,"Africa"
"218","Niger","niger",60.09,218,"Africa"
"219","Eswatini","eswatini",59.69,219,"Africa"
"220","Lesotho","lesotho",59.57,220,"Africa"
"221","South Sudan","south-sudan",59.16,221,"Africa"
"222","Chad","chad",59.15,222,"Africa"
"223","Sierra Leone","sierra-leone",58.76,223,"Africa"
"224","Mozambique","mozambique",57.1,224,"Africa"
"225","Somalia","somalia",55.72,225,"Africa"
"226","Central African Republic","central-african-republic",55.52,226,"Africa"
"227","Afghanistan","afghanistan",53.65,227,"South Asia"
